STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,,INDICATOR,,MEASURE,,INEQUALITY,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,HO_BASE,,L,,TOT,,6.4,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,HO_BASE,,L,,TOT,,2.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,HO_BASE,,L,,TOT,,0.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,MEX,,HO_BASE,,L,,TOT,,25.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NLD,,HO_BASE,,L,,TOT,,0.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NOR,,HO_BASE,,L,,TOT,,0,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,POL,,HO_BASE,,L,,TOT,,2.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,PRT,,HO_BASE,,L,,TOT,,0.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVK,,HO_BASE,,L,,TOT,,1.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ESP,,HO_BASE,,L,,TOT,,0.3,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SWE,,HO_BASE,,L,,TOT,,0,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHE,,HO_BASE,,L,,TOT,,0,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,TUR,,HO_BASE,,L,,TOT,,4.9,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GBR,,HO_BASE,,L,,TOT,,0.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,USA,,HO_BASE,,L,,TOT,,0.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BRA,,HO_BASE,,L,,TOT,,6.7,,A,,PC,,0,,,
